               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  66,            0.079626,            0.027552,           0.0037192,                   1,             0.89935,               0.995,             0.35217,            0.084503,           0.0085283,           0.0024815,            0.008713,            0.008713,            0.008713
                  67,            0.085457,             0.02326,           0.0032713,                   1,             0.89935,               0.995,             0.35217,            0.084503,           0.0085283,           0.0024815,           0.0086932,           0.0086932,           0.0086932
                  68,            0.081608,            0.026284,           0.0031095,             0.49041,                   1,             0.82833,              0.4846,            0.074225,           0.0084247,           0.0021433,           0.0086734,           0.0086734,           0.0086734
                  69,             0.08177,            0.033754,           0.0032572,             0.49041,                   1,             0.82833,              0.4846,            0.074225,           0.0084247,           0.0021433,           0.0086536,           0.0086536,           0.0086536
                  70,            0.078286,            0.025569,           0.0033028,             0.49041,                   1,             0.82833,              0.4846,            0.074225,           0.0084247,           0.0021433,           0.0086338,           0.0086338,           0.0086338
                  71,            0.079158,            0.030391,            0.003541,             0.94875,                   1,               0.995,             0.36483,            0.077226,           0.0075747,           0.0021582,            0.008614,            0.008614,            0.008614
                  72,            0.072601,            0.024107,           0.0033068,             0.94875,                   1,               0.995,             0.36483,            0.077226,           0.0075747,           0.0021582,           0.0085942,           0.0085942,           0.0085942
                  73,             0.08065,            0.027387,           0.0035214,             0.94875,                   1,               0.995,             0.36483,            0.077226,           0.0075747,           0.0021582,           0.0085744,           0.0085744,           0.0085744
                  74,            0.082319,            0.025607,           0.0037473,             0.94875,                   1,               0.995,             0.36483,            0.077226,           0.0075747,           0.0021582,           0.0085546,           0.0085546,           0.0085546
                  75,            0.072796,            0.022511,            0.003488,             0.85009,                   1,               0.995,             0.28248,            0.078038,           0.0073165,           0.0020713,           0.0085348,           0.0085348,           0.0085348
                  76,             0.07236,            0.020543,           0.0027945,             0.85009,                   1,               0.995,             0.28248,            0.078038,           0.0073165,           0.0020713,            0.008515,            0.008515,            0.008515
                  77,            0.081875,            0.030768,           0.0033664,             0.85009,                   1,               0.995,             0.28248,            0.078038,           0.0073165,           0.0020713,           0.0084952,           0.0084952,           0.0084952
                  78,             0.08068,            0.024644,            0.003206,                   1,             0.95337,               0.995,             0.58029,            0.073049,           0.0073809,           0.0020281,           0.0084754,           0.0084754,           0.0084754
                  79,            0.080171,            0.027088,            0.002793,                   1,             0.95337,               0.995,             0.58029,            0.073049,           0.0073809,           0.0020281,           0.0084556,           0.0084556,           0.0084556
                  80,            0.076261,            0.024095,            0.003079,                   1,             0.95337,               0.995,             0.58029,            0.073049,           0.0073809,           0.0020281,           0.0084358,           0.0084358,           0.0084358
                  81,            0.075657,            0.026049,            0.003401,             0.54301,                 0.5,             0.66167,             0.21277,            0.074903,           0.0073269,           0.0019602,            0.008416,            0.008416,            0.008416
                  82,            0.075797,            0.029449,           0.0032989,             0.54301,                 0.5,             0.66167,             0.21277,            0.074903,           0.0073269,           0.0019602,           0.0083962,           0.0083962,           0.0083962
                  83,            0.077059,            0.025666,           0.0028076,             0.54301,                 0.5,             0.66167,             0.21277,            0.074903,           0.0073269,           0.0019602,           0.0083764,           0.0083764,           0.0083764
                  84,            0.072224,            0.028552,           0.0032978,             0.18497,                   1,             0.24875,            0.082124,            0.085444,           0.0068656,           0.0017233,           0.0083566,           0.0083566,           0.0083566
                  85,            0.082613,            0.021682,           0.0027446,             0.18497,                   1,             0.24875,            0.082124,            0.085444,           0.0068656,           0.0017233,           0.0083368,           0.0083368,           0.0083368
                  86,             0.08359,            0.026975,           0.0030751,             0.18497,                   1,             0.24875,            0.082124,            0.085444,           0.0068656,           0.0017233,            0.008317,            0.008317,            0.008317
                  87,            0.083994,            0.027122,           0.0031733,             0.30942,                   1,             0.33167,             0.20731,            0.078687,           0.0069804,           0.0018623,           0.0082972,           0.0082972,           0.0082972
                  88,            0.081554,            0.024861,           0.0026403,             0.30942,                   1,             0.33167,             0.20731,            0.078687,           0.0069804,           0.0018623,           0.0082774,           0.0082774,           0.0082774
                  89,            0.084531,            0.023392,            0.002592,             0.30942,                   1,             0.33167,             0.20731,            0.078687,           0.0069804,           0.0018623,           0.0082576,           0.0082576,           0.0082576
                  90,            0.079316,            0.025835,           0.0025606,             0.30942,                   1,             0.33167,             0.20731,            0.078687,           0.0069804,           0.0018623,           0.0082378,           0.0082378,           0.0082378
                  91,            0.085545,            0.025251,            0.002772,             0.27692,             0.96306,             0.30786,             0.18125,            0.083792,           0.0067829,           0.0018785,            0.008218,            0.008218,            0.008218
                  92,            0.087143,            0.026889,           0.0028957,             0.27692,             0.96306,             0.30786,             0.18125,            0.083792,           0.0067829,           0.0018785,           0.0081982,           0.0081982,           0.0081982
                  93,            0.082635,            0.022578,           0.0031664,             0.27692,             0.96306,             0.30786,             0.18125,            0.083792,           0.0067829,           0.0018785,           0.0081784,           0.0081784,           0.0081784
                  94,            0.091343,            0.024411,           0.0027235,             0.46374,                 0.5,             0.60611,             0.19096,            0.085522,           0.0065294,           0.0019151,           0.0081586,           0.0081586,           0.0081586
                  95,            0.085771,            0.022883,           0.0032863,             0.46374,                 0.5,             0.60611,             0.19096,            0.085522,           0.0065294,           0.0019151,           0.0081388,           0.0081388,           0.0081388
                  96,            0.085544,            0.021718,           0.0026129,             0.46374,                 0.5,             0.60611,             0.19096,            0.085522,           0.0065294,           0.0019151,            0.008119,            0.008119,            0.008119
                  97,            0.088343,            0.023131,           0.0029382,             0.79913,                 0.5,             0.63786,             0.30509,            0.078034,           0.0066322,           0.0019053,           0.0080992,           0.0080992,           0.0080992
                  98,            0.078674,            0.025668,           0.0029027,             0.79913,                 0.5,             0.63786,             0.30509,            0.078034,           0.0066322,           0.0019053,           0.0080794,           0.0080794,           0.0080794
                  99,            0.079896,            0.023876,           0.0028735,             0.79913,                 0.5,             0.63786,             0.30509,            0.078034,           0.0066322,           0.0019053,           0.0080596,           0.0080596,           0.0080596
                 100,            0.080515,             0.02913,           0.0025763,             0.73342,                 0.5,               0.695,             0.22233,            0.075738,           0.0067535,           0.0020007,           0.0080398,           0.0080398,           0.0080398
                 101,            0.074993,            0.025258,           0.0030457,             0.73342,                 0.5,               0.695,             0.22233,            0.075738,           0.0067535,           0.0020007,             0.00802,             0.00802,             0.00802
                 102,             0.08023,            0.030322,           0.0028881,             0.73342,                 0.5,               0.695,             0.22233,            0.075738,           0.0067535,           0.0020007,           0.0080002,           0.0080002,           0.0080002
                 103,            0.074806,            0.024306,           0.0027453,             0.83354,                 0.5,               0.695,             0.25322,            0.066314,           0.0070718,           0.0022049,           0.0079804,           0.0079804,           0.0079804
                 104,            0.071942,            0.028556,           0.0035932,             0.83354,                 0.5,               0.695,             0.25322,            0.066314,           0.0070718,           0.0022049,           0.0079606,           0.0079606,           0.0079606
                 105,            0.078045,            0.030066,           0.0030261,             0.83354,                 0.5,               0.695,             0.25322,            0.066314,           0.0070718,           0.0022049,           0.0079408,           0.0079408,           0.0079408
                 106,            0.076003,            0.026942,           0.0027966,             0.83354,                 0.5,               0.695,             0.25322,            0.066314,           0.0070718,           0.0022049,            0.007921,            0.007921,            0.007921
                 107,            0.078995,            0.028984,           0.0032137,             0.85463,                 0.5,               0.695,             0.24834,            0.066954,           0.0070493,           0.0023014,           0.0079012,           0.0079012,           0.0079012
                 108,            0.071041,            0.024663,           0.0029755,             0.85463,                 0.5,               0.695,             0.24834,            0.066954,           0.0070493,           0.0023014,           0.0078814,           0.0078814,           0.0078814
                 109,            0.074141,            0.034507,           0.0033281,             0.85463,                 0.5,               0.695,             0.24834,            0.066954,           0.0070493,           0.0023014,           0.0078616,           0.0078616,           0.0078616
                 110,            0.070776,            0.029002,           0.0030686,             0.86113,                 0.5,               0.695,             0.28579,            0.060053,           0.0074996,           0.0024252,           0.0078418,           0.0078418,           0.0078418
                 111,            0.066107,            0.026952,           0.0030455,             0.86113,                 0.5,               0.695,             0.28579,            0.060053,           0.0074996,           0.0024252,            0.007822,            0.007822,            0.007822
                 112,            0.063862,             0.02857,           0.0032326,             0.86113,                 0.5,               0.695,             0.28579,            0.060053,           0.0074996,           0.0024252,           0.0078022,           0.0078022,           0.0078022
                 113,            0.058204,            0.027599,           0.0029944,             0.65617,                   1,             0.82833,             0.42592,            0.046111,           0.0077142,           0.0022846,           0.0077824,           0.0077824,           0.0077824
                 114,              0.0593,            0.032129,           0.0034078,             0.65617,                   1,             0.82833,             0.42592,            0.046111,           0.0077142,           0.0022846,           0.0077626,           0.0077626,           0.0077626
                 115,            0.056864,            0.026792,           0.0031996,             0.65617,                   1,             0.82833,             0.42592,            0.046111,           0.0077142,           0.0022846,           0.0077428,           0.0077428,           0.0077428
